period_type,as_of_date,score,metric_count,source,previous_score,change
day,2016-01-15 00:00:00,1.4202158,,historical_city_aggregate,,
day,2016-01-18 00:00:00,1.3919104,,historical_city_aggregate,1.4202158,-0.028305400000000036
day,2016-01-19 00:00:00,1.6669196,,historical_city_aggregate,1.3919104,0.27500919999999995
day,2016-01-20 00:00:00,1.4619715,,historical_city_aggregate,1.6669196,-0.20494809999999997
day,2016-01-21 00:00:00,1.2911505,,historical_city_aggregate,1.4619715,-0.1708209999999999
day,2016-01-22 00:00:00,1.1403529,,historical_city_aggregate,1.2911505,-0.1507976000000002
day,2016-01-25 00:00:00,1.3510652,,historical_city_aggregate,1.1403529,0.21071230000000019
day,2016-01-26 00:00:00,1.2680146,,historical_city_aggregate,1.3510652,-0.08305059999999997
day,2016-01-27 00:00:00,1.2016951,,historical_city_aggregate,1.2680146,-0.06631950000000009
day,2016-01-28 00:00:00,1.2416108,,historical_city_aggregate,1.2016951,0.03991569999999989
day,2016-01-29 00:00:00,1.2624641,,historical_city_aggregate,1.2416108,0.020853300000000186
day,2016-02-01 00:00:00,1.194911,,historical_city_aggregate,1.2624641,-0.06755310000000003
day,2016-02-02 00:00:00,1.2235318,,historical_city_aggregate,1.194911,0.02862079999999989
day,2016-02-03 00:00:00,1.1711527,,historical_city_aggregate,1.2235318,-0.05237910000000001
day,2016-02-04 00:00:00,1.2068722,,historical_city_aggregate,1.1711527,0.035719500000000126
day,2016-02-05 00:00:00,1.1899616,,historical_city_aggregate,1.2068722,-0.01691060000000011
day,2016-02-08 00:00:00,1.2458364,,historical_city_aggregate,1.1899616,0.0558748
day,2016-02-09 00:00:00,1.4011311,,historical_city_aggregate,1.2458364,0.1552947
day,2016-02-10 00:00:00,1.1571888,,historical_city_aggregate,1.4011311,-0.24394230000000006
day,2016-02-11 00:00:00,1.2643268,,historical_city_aggregate,1.1571888,0.10713800000000018
day,2016-02-12 00:00:00,1.1150891,,historical_city_aggregate,1.2643268,-0.14923770000000003
day,2016-02-15 00:00:00,1.1643695,,historical_city_aggregate,1.1150891,0.0492804
