metric_name,display_name,service_area,owner_department,cadence,definition,default_metric_logic,default_target,has_current_detail,has_current_summary,has_history,service_area_order,score_calculated_ts,target,metric_logic,day_score,day_numerator,day_denominator,week_score,week_numerator,week_denominator,month_score,month_numerator,month_denominator,quarter_score,quarter_numerator,quarter_denominator,latest_score_flag,score_final_table_ts,previous_day_score,previous_week_score,previous_month_score,previous_quarter_score,score_day_name,as_of_date,selected_period,selected_score,actual_primary_value,actual_secondary_value,summary_previous_score,day_previous_score,week_previous_score,month_previous_score,quarter_previous_score,rolling_mean_14,rolling_mean_28,history_previous_score,history_change_vs_previous,history_below_target_streak,history_recent_decline_flag,previous_score,change_vs_previous,below_target_streak,recent_decline_flag,stale_metric,severity,alert_reasons,severity_rank,selected_score_sort
BFD INCIDENTS,BFD Incidents,Public Safety,Boston Fire Department,weekday,Fire-related incidents versus the historical average. Scores above 1 indicate fewer incidents.,historical_average / current_average,,True,True,True,0,2026-05-16 07:20:14,,historical_average / current_average,,200.662337662338,,0.846676530220834,200.662337662338,237.0,0.911840522426534,192.945454545455,211.6,0.912520189652478,196.786516853933,215.651685393258,1.0,2026-05-16 08:45:36,,0.846677,0.911841,0.91252,Friday,2026-05-16 00:00:00,week,0.846676530220834,200.662337662338,237.0,0.846677,,0.846677,0.911841,0.91252,1.1561423494320635,1.3561054175731748,0.957333679159642,-0.11065714893880796,5.0,False,0.846677,-4.6977916601242953e-07,5,False,False,red,"['Current score is below the CityScore target threshold of 1.0.', 'Current score is materially below the 14-observation rolling baseline.', 'Metric has stayed below target for 5 consecutive updates.']",0,0.846676530220834
BFD RESPONSE TIME,BFD Response Time,Public Safety,Boston Fire Department,weekday,Percent of fire responses arriving within 4 minutes from station departure against a 90% goal.,sum(numerator_value)/sum(denominator_value)/target,0.9,True,True,True,0,2026-05-16 07:20:15,0.9,sum(numerator_value)/sum(denominator_value)/target,,,,0.920418559823764,1337.0,1614.0,0.920793973870536,5293.0,6387.0,0.893566276498443,15436.0,19194.0,1.0,2026-05-16 08:45:36,,0.920419,0.920794,0.893566,Friday,2026-05-16 00:00:00,week,0.920418559823764,1337.0,1614.0,0.920419,,0.920419,0.920794,0.893566,0.904486031815198,0.8909405551933134,0.933237616654702,-0.01281905683093798,801.0,False,0.920419,-4.401762360162209e-07,801,False,False,red,"['Current score is below the CityScore target threshold of 1.0.', 'Metric has stayed below target for 801 consecutive updates.']",0,0.920418559823764
EMS RESPONSE TIME,EMS Response Time,Public Safety,Emergency Medical Services,weekday,Median priority-1 EMS response time against a 6-minute goal.,target / median,6.0,True,True,True,0,2026-05-16 07:20:15,6.0,target / median,,6.0,,0.962566844919786,6.0,6.23333333333333,0.920716112531969,6.0,6.51666666666667,0.893300248138958,6.0,6.71666666666667,1.0,2026-05-16 08:45:36,,0.962567,0.920716,0.8933,Friday,2026-05-16 00:00:00,week,0.962566844919786,6.0,6.23333333333333,0.962567,,0.962567,0.920716,0.8933,0.978243334569784,0.9507491279991777,0.926640926640927,0.03592591827885894,5.0,False,0.962567,-1.550802140037888e-07,5,False,False,red,"['Current score is below the CityScore target threshold of 1.0.', 'Metric has stayed below target for 5 consecutive updates.']",0,0.962566844919786
SHOOTINGS (TREND),Shootings,Public Safety,Boston Police Department,weekday,Non-fatal shootings versus the historical average. Scores above 1 indicate fewer shootings.,historical_average / current_average,,True,True,True,0,2026-05-16 07:20:16,,historical_average / current_average,,0.785714285714286,,0.611111111111111,0.785714285714286,1.28571428571429,1.47549019607843,0.836111111111111,0.566666666666667,1.37847222222222,0.743445692883895,0.539325842696629,1.0,2026-05-16 08:45:36,,0.611111,1.47549,1.378472,Friday,2026-05-16 00:00:00,week,0.611111111111111,0.785714285714286,1.28571428571429,0.611111,,0.611111,1.47549,1.378472,2.212559201587301,2.595856711507936,3.33333333333333,-2.7222222222222188,1.0,False,0.611111,1.1111111108963456e-07,1,False,False,red,"['Current score is below the CityScore target threshold of 1.0.', 'Current score is materially below the 14-observation rolling baseline.']",0,0.611111111111111
311 CALL CENTER PERFORMANCE,311 Call Center Performance,Resident Experience,311 Constituent Services,weekday,Percent of 311 calls answered within 30 seconds against a 95% goal.,sum(numerator_value)/sum(denominator_value)/target,0.95,True,True,True,1,2026-05-16 07:20:15,0.95,sum(numerator_value)/sum(denominator_value)/target,0.989847715736041,741.0,788.0,0.980634610398676,4917.0,5278.0,0.942729614196907,20973.0,23418.0,0.942380231712577,67842.0,75779.0,1.0,2026-05-16 08:45:36,0.989848,0.980635,0.94273,0.94238,Friday,2026-05-16 00:00:00,day,0.989847715736041,741.0,788.0,0.989848,0.989848,0.980635,0.94273,0.94238,0.9640202207384857,0.9764665389406716,0.87678307919331,0.11306463654273102,15.0,False,0.989848,-2.8426395892733325e-07,15,False,False,red,"['Current score is below the CityScore target threshold of 1.0.', 'Metric has stayed below target for 15 consecutive updates.']",0,0.989847715736041
GRAFFITI ON-TIME %,Graffiti Removal On-Time %,Streets And Public Works,Public Works,weekday,Percent of graffiti requests completed within the service target.,sum(numerator_value)/sum(denominator_value)/target,0.8,True,True,True,2,2026-05-16 07:20:16,0.8,sum(numerator_value)/sum(denominator_value)/target,,,,0.795454545454545,28.0,44.0,0.73051948051948,45.0,77.0,0.846153846153846,88.0,130.0,1.0,2026-05-16 08:45:36,,0.795455,0.730519,0.846154,Friday,2026-05-16 00:00:00,week,0.795454545454545,28.0,44.0,0.795455,,0.795455,0.730519,0.846154,0.7889929792717087,0.8227539253501401,1.25,-0.45454545454545503,1.0,False,0.795455,-4.545454550530792e-07,1,False,False,red,['Current score is below the CityScore target threshold of 1.0.'],0,0.795454545454545
POTHOLE ON-TIME %,Pothole Repair On-Time %,Streets And Public Works,Public Works,weekday,Percent of potholes repaired within one business day.,sum(numerator_value)/sum(denominator_value)/target,0.8,True,True,True,2,2026-05-16 07:20:17,0.8,sum(numerator_value)/sum(denominator_value)/target,0.5,2.0,5.0,0.80188679245283,34.0,53.0,0.661764705882353,180.0,340.0,0.56701030927835,748.0,1649.0,1.0,2026-05-16 08:45:36,0.5,0.801887,0.661765,0.56701,Friday,2026-05-16 00:00:00,day,0.5,2.0,5.0,0.5,0.5,0.801887,0.661765,0.56701,0.8021407968132707,0.7140957019780638,0.808823529411765,-0.30882352941176505,2.0,True,0.5,0.0,2,True,False,red,"['Current score is below the CityScore target threshold of 1.0.', 'Current score is materially below the 14-observation rolling baseline.', 'Recent observations show a consecutive decline.']",0,0.5
SIGN INSTALLATION ON-TIME %,Sign Installation On-Time %,Streets And Public Works,Transportation,weekday,Percent of approved sign installations completed within 30 calendar days.,sum(numerator_value)/sum(denominator_value)/target,0.8,True,True,True,2,2026-05-16 07:20:17,0.8,sum(numerator_value)/sum(denominator_value)/target,,,,0.100806451612903,10.0,124.0,0.185810810810811,66.0,444.0,0.234375,120.0,640.0,1.0,2026-05-16 08:45:36,,0.100806,0.185811,0.234375,Friday,2026-05-16 00:00:00,week,0.100806451612903,10.0,124.0,0.100806,,0.100806,0.185811,0.234375,0.6852723571428572,0.6899548642857142,0.1875,-0.086693548387097,3.0,False,0.100806,4.516129029907834e-07,3,False,False,red,"['Current score is below the CityScore target threshold of 1.0.', 'Current score is materially below the 14-observation rolling baseline.', 'Metric has stayed below target for 3 consecutive updates.']",0,0.100806451612903
ON-TIME PERMIT REVIEWS,On-Time Permit Reviews,Permits And Code,Planning And Development,weekday,Percent of as-of-right permits reviewed within 20 business days.,sum(numerator_value)/sum(denominator_value)/target,1.0,True,True,True,4,2026-05-16 07:20:18,1.0,sum(numerator_value)/sum(denominator_value)/target,,,,0.712820512820513,139.0,195.0,0.695519348268839,683.0,982.0,0.669864373139266,2025.0,3023.0,1.0,2026-05-16 08:45:36,,0.712821,0.695519,0.669864,Friday,2026-05-16 00:00:00,week,0.712820512820513,139.0,195.0,0.712821,,0.712821,0.695519,0.669864,0.7924981285667245,0.8380593142833622,0.75609756097561,-0.04327704815509703,256.0,True,0.712821,-4.871794870853208e-07,256,True,False,red,"['Current score is below the CityScore target threshold of 1.0.', 'Current score is below the recent rolling baseline.', 'Metric has stayed below target for 256 consecutive updates.', 'Recent observations show a consecutive decline.']",0,0.712820512820513
PART 1 CRIMES,Part 1 Crimes,Public Safety,Boston Police Department,weekday,"Serious FBI index crimes excluding homicides, shootings, and stabbings. Scores above 1 indicate fewer crimes.",historical_average / current_average,,True,True,True,0,2026-05-16 07:20:16,,historical_average / current_average,,42.2142857142857,,1.07065217391304,42.2142857142857,39.4285714285714,0.976309067688378,42.4694444444444,43.5,1.00606230180936,40.4007490636704,40.1573033707865,1.0,2026-05-16 08:45:36,,1.070652,0.976309,1.006062,Friday,2026-05-16 00:00:00,week,1.07065217391304,42.2142857142857,39.4285714285714,1.070652,,1.070652,0.976309,1.006062,1.630641557827683,1.6851712789138413,1.0984555984556,-0.027803424542560018,0.0,True,1.070652,1.7391303996916463e-07,0,True,False,amber,"['Current score is materially below the 14-observation rolling baseline.', 'Recent observations show a consecutive decline.']",1,1.07065217391304
