metric_name,score_calculated_ts,target,metric_logic,day_score,day_numerator,day_denominator,week_score,week_numerator,week_denominator,month_score,month_numerator,month_denominator,quarter_score,quarter_numerator,quarter_denominator,latest_score_flag
311 CALL CENTER PERFORMANCE,2026-03-25 11:24:49,0.95,sum(numerator_value)/sum(denominator_value)/target,0.980733584227377,873.0,937.0,0.923886791336836,4686.0,5339.0,0.943312314656421,25559.0,28521.0,0.928984895275587,70181.0,79522.0,0
311 CALL CENTER PERFORMANCE,2026-03-31 10:03:57,0.95,sum(numerator_value)/sum(denominator_value)/target,0.960124640927017,986.0,1081.0,0.946283672405909,4449.0,4949.0,0.943312314656421,25559.0,28521.0,0.928984895275587,70181.0,79522.0,0
311 CALL CENTER PERFORMANCE,2026-04-07 11:36:52,0.95,sum(numerator_value)/sum(denominator_value)/target,0.954176485991097,911.0,1005.0,0.954750619467207,4643.0,5119.0,0.940921935711763,21310.0,23840.0,0.920275948644649,72722.0,83181.0,0
311 CALL CENTER PERFORMANCE,2026-04-10 10:58:07,0.95,sum(numerator_value)/sum(denominator_value)/target,0.87678307919331,713.0,856.0,0.954750619467207,4643.0,5119.0,0.940921935711763,21310.0,23840.0,0.920275948644649,72722.0,83181.0,0
311 CALL CENTER PERFORMANCE,2026-05-16 07:20:15,0.95,sum(numerator_value)/sum(denominator_value)/target,0.989847715736041,741.0,788.0,0.980634610398676,4917.0,5278.0,0.942729614196907,20973.0,23418.0,0.942380231712577,67842.0,75779.0,1
BFD INCIDENTS,2026-03-25 11:24:49,,historical_average / current_average,0.906156343656344,188.480519480519,208.0,0.864589538901466,188.480519480519,218.0,0.912408968815984,206.237012987013,226.035714285714,0.888369272906256,203.377338877339,228.933333333333,0
BFD INCIDENTS,2026-03-31 10:03:56,,historical_average / current_average,,185.597402597403,,0.91814969482814,185.597402597403,202.142857142857,0.912408968815984,206.237012987013,226.035714285714,0.888369272906256,203.377338877339,228.933333333333,0
BFD INCIDENTS,2026-04-07 11:36:52,,historical_average / current_average,0.900189012865069,191.74025974026,213.0,0.957333679159642,191.74025974026,200.285714285714,0.91329036218539,191.967741935484,210.193548387097,0.902412265664642,199.40303030303,220.966666666667,0
BFD INCIDENTS,2026-04-10 10:58:07,,historical_average / current_average,,191.74025974026,,0.957333679159642,191.74025974026,200.285714285714,0.91329036218539,191.967741935484,210.193548387097,0.902412265664642,199.40303030303,220.966666666667,0
BFD INCIDENTS,2026-05-16 07:20:14,,historical_average / current_average,,200.662337662338,,0.846676530220834,200.662337662338,237.0,0.911840522426534,192.945454545455,211.6,0.912520189652478,196.786516853933,215.651685393258,1
BFD RESPONSE TIME,2026-03-25 11:24:56,0.9,sum(numerator_value)/sum(denominator_value)/target,,,,0.920914148248384,1225.0,1478.0,0.862763813766041,4881.0,6286.0,0.890276558146594,16424.0,20498.0,0
BFD RESPONSE TIME,2026-03-31 10:03:58,0.9,sum(numerator_value)/sum(denominator_value)/target,,,,0.885091763854986,979.0,1229.0,0.862763813766041,4881.0,6286.0,0.890276558146594,16424.0,20498.0,0
BFD RESPONSE TIME,2026-04-07 11:36:53,0.9,sum(numerator_value)/sum(denominator_value)/target,,,,0.933237616654702,1170.0,1393.0,0.89659050247917,5262.0,6521.0,0.882380992454206,15728.0,19805.0,0
BFD RESPONSE TIME,2026-04-10 10:58:07,0.9,sum(numerator_value)/sum(denominator_value)/target,,,,0.933237616654702,1170.0,1393.0,0.89659050247917,5262.0,6521.0,0.882380992454206,15728.0,19805.0,0
BFD RESPONSE TIME,2026-05-16 07:20:15,0.9,sum(numerator_value)/sum(denominator_value)/target,,,,0.920418559823764,1337.0,1614.0,0.920793973870536,5293.0,6387.0,0.893566276498443,15436.0,19194.0,1
BPS ATTENDANCE,2026-03-25 11:24:56,0.95,average(sum(numerator_value)/sum(denominator_value))/target,,,,,,,,,,,,,0
BPS ATTENDANCE,2026-03-31 10:03:58,0.95,average(sum(numerator_value)/sum(denominator_value))/target,,,,,,,,,,,,,0
