metric_name,score_calculated_ts,score_final_table_ts,previous_day_score,previous_week_score,previous_month_score,previous_quarter_score,score_day_name
311 CALL CENTER PERFORMANCE,2026-05-16 07:20:15,2026-05-16 08:45:36,0.989848,0.980635,0.94273,0.94238,Friday
BFD INCIDENTS,2026-05-16 07:20:14,2026-05-16 08:45:36,,0.846677,0.911841,0.91252,Friday
BFD RESPONSE TIME,2026-05-16 07:20:15,2026-05-16 08:45:36,,0.920419,0.920794,0.893566,Friday
BPS ATTENDANCE,2026-05-16 07:20:15,2026-05-16 08:45:36,,,,,Friday
CITY SERVICES SATISFACTION SURVEYS,2026-05-16 07:20:15,2026-05-16 08:45:36,,1.25,1.153846,1.09375,Friday
CITY SERVICES SATISFACTION SURVEYS,2026-05-16 07:20:18,2026-05-16 08:45:36,1.25,0.816667,0.805556,0.766129,Friday
CODE ENFORCEMENT ON-TIME %,2026-05-16 07:20:18,2026-05-16 08:45:36,1.25,1.240672,1.244902,1.199633,Friday
CODE ENFORCEMENT TRASH COLLECTION,2026-05-16 07:20:18,2026-05-16 08:45:36,1.25,1.23062,1.221568,1.158469,Friday
EMS RESPONSE TIME,2026-05-16 07:20:15,2026-05-16 08:45:36,,0.962567,0.920716,0.8933,Friday
GRAFFITI ON-TIME %,2026-05-16 07:20:16,2026-05-16 08:45:36,,0.795455,0.730519,0.846154,Friday
HOMICIDES (TREND),2026-05-16 07:20:16,2026-05-16 08:45:36,,1.333333,,3.958333,Friday
LIBRARY USERS,2026-05-16 07:20:14,2026-05-16 08:45:36,,1.773381,1.786888,1.743461,Friday
MISSED TRASH ON-TIME %,2026-05-16 07:20:17,2026-05-16 08:45:36,1.25,1.231061,1.197674,1.200185,Friday
ON-TIME PERMIT REVIEWS,2026-05-16 07:20:18,2026-05-16 08:45:36,,0.712821,0.695519,0.669864,Friday
PARKS MAINTENANCE ON-TIME %,2026-05-16 07:20:17,2026-05-16 08:45:36,,,,,Friday
PART 1 CRIMES,2026-05-16 07:20:16,2026-05-16 08:45:36,,1.070652,0.976309,1.006062,Friday
POTHOLE ON-TIME %,2026-05-16 07:20:17,2026-05-16 08:45:36,0.5,0.801887,0.661765,0.56701,Friday
SHOOTINGS (TREND),2026-05-16 07:20:16,2026-05-16 08:45:36,,0.611111,1.47549,1.378472,Friday
SIGN INSTALLATION ON-TIME %,2026-05-16 07:20:17,2026-05-16 08:45:36,,0.100806,0.185811,0.234375,Friday
SIGNAL REPAIR ON-TIME %,2026-05-16 07:20:17,2026-05-16 08:45:36,1.25,1.25,1.185345,1.183155,Friday
STABBINGS (TREND),2026-05-16 07:20:16,2026-05-16 08:45:36,,1.833333,1.145238,1.066824,Friday
STREETLIGHT ON-TIME %,2026-05-16 07:20:17,2026-05-16 08:45:36,,,,,Friday
TREE MAINTENANCE ON-TIME %,2026-05-16 07:20:18,2026-05-16 08:45:36,,,,,Friday
