service_rank,metric_name,department,priority_level,priority_weight,operational_importance,weighted_kpi_score,previous_weighted_kpi_score,trend_delta,trend_label,performance_vs_target,impact_score,score_selection_method,month_score,quarter_score,week_score,day_score,history_points,history_latest_score,history_trend_change_6,target,metric_logic,service_definition,snapshot_date
1,HOMICIDES (TREND),Public Safety / Crime,High,3,3,9.293430353333331,1.333333,7.960097353333332,Improving,8.293430353333331,24.880291059999994,0.6*month + 0.4*quarter,12.8501617,3.95833333333333,1.33333333333333,,6.0,12.8501617,1.5545418999999985,,historical_average / current_average,Higher CityScore means homicide levels improved versus historical average.,2026-05-16
2,SHOOTINGS (TREND),Public Safety / Crime,High,3,3,1.436683006535946,1.4366827999999998,2.0653594612340953e-07,Stable,0.43668300653594594,1.3100490196078378,0.6*month + 0.4*quarter,1.47549019607843,1.37847222222222,0.611111111111111,,6.0,2.1249078,-0.38889200000000024,,historical_average / current_average,Higher CityScore means fewer shootings versus historical average.,2026-05-16
3,LIBRARY USERS,Library Department,Low,1,1,1.769517311414354,1.7695172,1.114143541869339e-07,Stable,0.7695173114143541,0.7695173114143541,0.6*month + 0.4*quarter,1.78688807031805,1.74346117305881,1.77338118808939,1.6253884,6.0,1.524052,0.008144099999999987,,current_average / historical_average ,Higher usage is better.,2026-05-16
4,CODE ENFORCEMENT ON-TIME %,Public Works / Maintenance,Medium,2,2,1.226794466246068,1.2267944,6.624606796457044e-08,Stable,0.22679446624606792,0.45358893249213583,0.6*month + 0.4*quarter,1.24490212071778,1.1996329845385,1.24067164179104,1.25,,,,0.8,sum(numerator_value)/sum(denominator_value)/target,Target is timely code enforcement request resolution.,2026-05-16
5,MISSED TRASH ON-TIME %,Public Works / Maintenance,Medium,2,2,1.1986784519007978,1.1986784,5.190079788164326e-08,Stable,0.1986784519007978,0.3973569038015956,0.6*month + 0.4*quarter,1.19767441860465,1.20018450184502,1.23106060606061,1.25,6.0,1.1873259,0.05525040000000003,0.8,sum(numerator_value)/sum(denominator_value)/target,Target is 80% inspected within 1 business day.,2026-05-16
6,SIGNAL REPAIR ON-TIME %,Traffic Department,Medium,2,2,1.184468928637286,1.184469,-7.136271396035454e-08,Stable,0.18446892863728603,0.36893785727457207,0.6*month + 0.4*quarter,1.18534482758621,1.1831550802139,1.25,1.25,6.0,1.1518325,-0.008077399999999901,0.8,sum(numerator_value)/sum(denominator_value)/target,Target is 80% repaired within 24 hours.,2026-05-16
7,STABBINGS (TREND),Public Safety / Crime,High,3,3,1.113872416891288,1.1138724,1.6891287923925802e-08,Stable,0.11387241689128791,0.3416172506738637,0.6*month + 0.4*quarter,1.1452380952381,1.06682389937107,1.83333333333333,2.5105198,6.0,1.898198,-0.13080659999999988,,historical_average / current_average,Higher CityScore means fewer stabbings versus historical average.,2026-05-16
8,CODE ENFORCEMENT TRASH COLLECTION,Public Works / Maintenance,Low,1,1,1.19632815484314,1.1963284,-2.4515686014581206e-07,Stable,0.19632815484313992,0.19632815484313992,0.6*month + 0.4*quarter,1.22156783103168,1.15846864056033,1.23062015503876,1.25,,,,0.8,sum(numerator_value)/sum(denominator_value)/target,Tracks operational performance for code enforcement trash collection.,2026-05-16
9,TREE MAINTENANCE ON-TIME %,Public Works / Maintenance,Low,1,1,1.18598228,,,Unknown,0.18598227999999994,0.18598227999999994,0.6*month + 0.4*quarter,1.1824324,1.1913071,1.1882716,,6.0,1.1824324,0.02357829999999983,0.8,sum(numerator_value)/sum(denominator_value)/target,Target is timely tree maintenance against the CityScore standard.,2026-05-16
10,311 CONSTITUENT EXPERIENCE SURVEYS,City Services,Low,1,1,1.1298076923076898,1.1298076,9.230768993617744e-08,Stable,0.12980769230768985,0.12980769230768985,0.6*month + 0.4*quarter,1.15384615384615,1.09375,1.25,,6.0,1.1607143,-0.04761900000000008,4.0,sum(numerator_value)/sum(denominator_value)/target,Tracks 311 constituent experience survey performance.,2026-05-16
11,PARKS MAINTENANCE ON-TIME %,Public Works / Maintenance,Medium,2,2,1.0192313199999998,,,Unknown,0.01923131999999983,0.03846263999999966,0.6*month + 0.4*quarter,1.0358796,0.9942589,1.004902,0.78125,6.0,1.0358796,0.04061899999999985,0.8,sum(numerator_value)/sum(denominator_value)/target,Target is 80% completed within required timelines.,2026-05-16
12,PART 1 CRIMES,Public Safety / Crime,High,3,3,0.9882103613367708,0.9882102,1.6133677072094343e-07,Stable,-0.01178963866322924,-0.03536891598968772,0.6*month + 0.4*quarter,0.976309067688378,1.00606230180936,1.07065217391304,1.5564388,6.0,1.5776437,-0.031153499999999834,,historical_average / current_average,Higher CityScore means fewer serious crimes.,2026-05-16
13,BPS ATTENDANCE,Boston Public Schools (BPS),Medium,2,2,0.96470484,,,Unknown,-0.03529515999999999,-0.07059031999999998,0.6*month + 0.4*quarter,0.9675326,0.9604632,0.96634,0.9694057,6.0,0.9675326,0.00011679999999991697,0.95,average(sum(numerator_value)/sum(denominator_value))/target,Target attendance is 95%.,2026-05-16
14,BFD RESPONSE TIME,Fire Department (BFD),Low,1,1,0.9099028949216988,0.9099028,9.492169883440482e-08,Stable,-0.09009710507830115,-0.09009710507830115,0.6*month + 0.4*quarter,0.920793973870536,0.893566276498443,0.920418559823764,0.8960573,6.0,0.8927018,0.01296240000000004,0.9,sum(numerator_value)/sum(denominator_value)/target,First fire truck arrives within 4 minutes at least 90% of the time.,2026-05-16
15,311 CALL CENTER PERFORMANCE,City Services,High,3,3,0.942589861203175,0.94259,-1.3879682503326052e-07,Stable,-0.057410138796824994,-0.17223041639047498,0.6*month + 0.4*quarter,0.942729614196907,0.942380231712577,0.980634610398676,0.989847715736041,6.0,0.9805718,0.01939309999999994,0.95,sum(numerator_value)/sum(denominator_value)/target,Answer 311 calls within 30 seconds at least 95% of the time.,2026-05-16
16,GRAFFITI ON-TIME %,Public Works / Maintenance,Low,1,1,0.7767732267732264,0.776773,2.2677322630837438e-07,Stable,-0.22322677322677364,-0.22322677322677364,0.6*month + 0.4*quarter,0.73051948051948,0.846153846153846,0.795454545454545,0.9722223,6.0,0.6555118,-0.014710800000000024,0.8,sum(numerator_value)/sum(denominator_value)/target,Target is 80% removed within 45 business days.,2026-05-16
17,BFD INCIDENTS,Fire Department (BFD),High,3,3,0.9121123893169116,0.9121125999999999,-2.1068308830862748e-07,Stable,-0.08788761068308837,-0.2636628320492651,0.6*month + 0.4*quarter,0.911840522426534,0.912520189652478,0.846676530220834,1.1689427,6.0,1.1119621,-0.1418758,,historical_average / current_average,Higher CityScore means fewer incidents than historical average.,2026-05-16
18,EMS RESPONSE TIME,Emergency Medical Services (EMS),High,3,3,0.9097497667747647,0.9097496,1.6677476466497865e-07,Stable,-0.09025023322523529,-0.27075069967570586,0.6*month + 0.4*quarter,0.920716112531969,0.893300248138958,0.962566844919786,0.9079445,6.0,0.9690444,0.02540090000000006,6.0,target / median,Median EMS response time target is 6 minutes or less.,2026-05-16
19,CITY SERVICES SATISFACTION SURVEYS,City Services,Medium,2,2,0.7897849462365596,0.7897852000000001,-2.537634404831124e-07,Stable,-0.2102150537634404,-0.4204301075268808,0.6*month + 0.4*quarter,0.805555555555556,0.766129032258065,0.816666666666667,1.25,6.0,0.9652318,0.10412080000000001,4.0,sum(numerator_value)/sum(denominator_value)/target,Average constituent satisfaction target is 4 out of 5.,2026-05-16
20,STREETLIGHT ON-TIME %,Public Works / Maintenance,Medium,2,2,0.76307218,,,Unknown,-0.23692782,-0.47385564,0.6*month + 0.4*quarter,0.7583103,0.770215,0.78125,1.0416666,6.0,0.7583103,0.022822200000000015,0.8,sum(numerator_value)/sum(denominator_value)/target,Target is timely streetlight repair against the CityScore standard.,2026-05-16
21,ON-TIME PERMIT REVIEWS,Permitting Department,Medium,2,2,0.6852573582170098,0.685257,3.582170098326287e-07,Stable,-0.31474264178299016,-0.6294852835659803,0.6*month + 0.4*quarter,0.695519348268839,0.669864373139266,0.712820512820513,0.7142857,6.0,0.83237,-0.005836699999999917,1.0,sum(numerator_value)/sum(denominator_value)/target,Target is 75% reviewed within 20 business days.,2026-05-16
22,POTHOLE ON-TIME %,Public Works / Maintenance,Medium,2,2,0.6238629472407519,0.6238630000000001,-5.27592481924799e-08,Stable,-0.37613705275924814,-0.7522741055184963,0.6*month + 0.4*quarter,0.661764705882353,0.56701030927835,0.80188679245283,0.5,6.0,0.679768,0.05119070000000003,0.8,sum(numerator_value)/sum(denominator_value)/target,Target is 80% repaired within 1 business day.,2026-05-16
23,SIGN INSTALLATION ON-TIME %,Public Works / Maintenance,Medium,2,2,0.2052364864864866,0.2052366,-1.1351351339450311e-07,Stable,-0.7947635135135134,-1.5895270270270268,0.6*month + 0.4*quarter,0.185810810810811,0.234375,0.100806451612903,0.8333334,6.0,0.6614786,-0.07450269999999992,0.8,sum(numerator_value)/sum(denominator_value)/target,Target is timely installation against the CityScore service standard.,2026-05-16
